userId,name,email,role,company,companyId,password
aa871e4c-bf1e-4abf-aa91-c8ab5ce54159,Aiden Edwards,aiden.edwards.13@google.com,Employee,Google,1,password
2b8fcb4c-fe57-4bc0-babc-3c0bb0babf34,Gabriel Robinson,gabriel.robinson.01@google.com,Employee,Google,1,password
21fda586-d335-485d-9355-b59c0c8f7404,Mason Baker,mason.baker.50@google.com,Employee,Google,1,password
8f6740d4-68ed-4c45-8108-875cdd9c3688,Benjamin Brown,benjamin.brown.19@google.com,Employee,Google,1,password
9558543f-7adf-4f50-8be2-b5daf314ef6e,Alexander Anderson,alexander.anderson.13@google.com,Employee,Google,1,password
91b77f0a-b604-473b-804e-5b006fbcebeb,Luke Baker,luke.baker.36@google.com,Employee,Google,1,password
7bff437f-18c6-4a66-b0f7-6279cf0796da,Liam Morris,liam.morris.36@google.com,Employee,Google,1,password
81911136-b144-467b-898a-e88b7194ced9,Riley Roberts,riley.roberts.22@google.com,Employee,Google,1,password
16ad2206-9c72-4939-8ca8-19437dd90aed,Luke Evans,luke.evans.21@google.com,Employee,Google,1,password
aed0b4c7-3210-497e-bdd2-e89bd12d2e80,Gabriel Perez,gabriel.perez.05@google.com,TeamLeader,Google,1,password
445b5e23-516d-4aa2-a630-1b1fe9d93933,Owen Martin,owen.martin.02@google.com,TeamLeader,Google,1,password
efd191a6-17de-4247-9b16-40eff9abe1d4,Matthew Green,matthew.green.22@google.com,Employee,Google,1,password
eea23d17-7461-4b9f-a3ee-24f508580650,Ella Scott,ella.scott.46@google.com,Employee,Google,1,password
c2b57150-3fa5-4564-8442-3080d66041a8,Avery Evans,avery.evans.44@google.com,Employee,Google,1,password
f2cb64ca-0607-4b86-995f-11194793e623,Owen Nelson,owen.nelson.11@google.com,Employee,Google,1,password
04eeae8c-f5fe-45a8-a39d-02b38cdf5dd0,Scarlett Edwards,scarlett.edwards.05@google.com,Employee,Google,1,password
3e8053d5-3d01-470f-90f0-8206ab1055b0,Hazel Edwards,hazel.edwards.06@google.com,TeamLeader,Google,1,password
d6d709a6-1851-41c0-8f21-666f54836f46,Nora Walker,nora.walker.33@google.com,TeamLeader,Google,1,password
8b8262e0-7d82-495c-a783-3a457ebaeba9,Olivia Perez,olivia.perez.10@google.com,TeamLeader,Google,1,password
703fc9bc-e8bc-4760-908a-8a90b64017ce,Abigail Thompson,abigail.thompson.02@google.com,Employee,Google,1,password
90121460-0d24-48e6-9b5b-af271827e3c3,Nora Lopez,nora.lopez.12@google.com,TeamLeader,Google,1,password
da9b4a08-83fe-46c6-8881-7657e7110f8f,Elizabeth Taylor,elizabeth.taylor.41@google.com,TeamLeader,Google,1,password
85d9b6a6-90ed-4f31-b266-289e4ab08057,Zoe Perez,zoe.perez.41@google.com,Employee,Google,1,password
b4a7153b-3e29-4819-bce0-e38f9b334461,Mason Sanchez,mason.sanchez.29@google.com,Employee,Google,1,password
